dataset,arch,group_id,point_id,attack_type,trigger_type,poison_rate,train_param_value,test_param_type,test_param_value,stealth_tpr_avg,stealth_auc_avg,transfer_rate,asr,cover_rate,nc_max_anomaly_index,nc_is_poisoned,S_stealth
cifar10,mobilenet,1,1,SIG,SIG,0.005,4.0,test_delta,4.0,0.8840474537037037,0.45815837334816156,0.026562,0.011260948144028917,,7.5940937995910645,true,0.4538342188546176
cifar10,mobilenet,2,1,SIG,SIG,0.005,12.0,test_delta,12.0,0.8590369094488189,0.471304535304238,0.043125,0.017656054497428054,,2.0042884349823,false,0.37704362824339044
cifar10,mobilenet,3,1,SIG,SIG,0.005,20.0,test_delta,20.0,0.8708228820598006,0.49448888793891055,0.141094,0.1255387181982483,,7.2951579093933105,false,0.3955911103511285
cifar10,mobilenet,4,1,SIG,SIG,0.005,28.0,test_delta,28.0,0.8083931142909223,0.515608853707429,0.27625,0.3813429723342138,,3.0566868782043457,false,0.4124870829659433
cifar10,mobilenet,5,1,SIG,SIG,0.005,36.0,test_delta,36.0,0.8315141265314745,0.5066598132506213,0.428438,0.6581398581954678,,3.8692617416381836,false,0.40532785060049703
cifar10,mobilenet,6,1,SIG,SIG,0.005,44.0,test_delta,44.0,0.6608753998468192,0.4680380544345757,0.442812,0.7714444598915612,,1.5491907596588135,false,0.3744304435476606
cifar10,mobilenet,7,1,SIG,SIG,0.005,56.0,test_delta,56.0,0.5790232286096257,0.49568383816546724,0.615313,0.9099124148477686,,5.114983081817627,false,0.3965470705323738
cifar10,mobilenet,8,1,SIG,SIG,0.01,4.0,test_delta,4.0,0.8982291666666666,0.48482797642132747,0.031719,0.00834144306965105,,4.1282639503479,false,0.387862381137062
cifar10,mobilenet,9,1,SIG,SIG,0.01,12.0,test_delta,12.0,0.8643677057739558,0.50493519690412,0.079219,0.056582788822466284,,4.188427448272705,false,0.40394815752329605
cifar10,mobilenet,10,1,SIG,SIG,0.01,20.0,test_delta,20.0,0.8583632880910683,0.5048912657554515,0.249688,0.3969136660642291,,3.0486278533935547,false,0.40391301260436124
cifar10,mobilenet,11,1,SIG,SIG,0.01,28.0,test_delta,28.0,0.840763064796425,0.5380846141043459,0.297656,0.5599888780759071,,2.9164199829101562,false,0.4304676912834768
cifar10,mobilenet,12,1,SIG,SIG,0.01,36.0,test_delta,36.0,0.8075967261904762,0.47729117315548997,0.333594,0.7298762685944669,,3.280518054962158,true,0.4016615350387473
cifar10,mobilenet,13,1,SIG,SIG,0.01,44.0,test_delta,44.0,0.688384872417983,0.4191449993819891,0.627344,0.9153343528430419,,1.5034265518188477,false,0.3353159995055913
cifar10,mobilenet,14,1,SIG,SIG,0.01,56.0,test_delta,56.0,0.5401331227436823,0.2991886411589535,0.724531,0.962741554288892,,1.2609375715255737,false,0.23935091292716282
cifar10,mobilenet,15,1,SIG,SIG,0.05,4.0,test_delta,4.0,0.8721363736749117,0.46433807162581275,0.133437,0.07868761295704157,,4.880845069885254,true,0.41633358453079683
cifar10,mobilenet,16,1,SIG,SIG,0.05,12.0,test_delta,12.0,0.8463186242948246,0.5095635018126541,0.393437,0.5668010565827888,,1.3573206663131714,false,0.4076508014501233
cifar10,mobilenet,17,1,SIG,SIG,0.05,20.0,test_delta,20.0,0.8007112353372434,0.49994498268197796,0.529375,0.7585152231336021,,5.324443817138672,true,0.45175849911379695
cifar10,mobilenet,18,1,SIG,SIG,0.05,28.0,test_delta,28.0,0.7699065738341969,0.4415154614076573,0.703125,0.8586125399694147,,1.7068631649017334,false,0.35321236912612586
cifar10,mobilenet,19,1,SIG,SIG,0.05,36.0,test_delta,36.0,0.8334555076911699,0.5395143712008659,0.731563,0.9399416098985125,,1.2726303339004517,false,0.43161149696069273
cifar10,mobilenet,20,1,SIG,SIG,0.05,44.0,test_delta,44.0,0.8010273794603362,0.4665941858437631,0.625469,0.9428611149728903,,1.6915830373764038,false,0.3732753486750105
cifar10,mobilenet,21,1,SIG,SIG,0.05,56.0,test_delta,56.0,0.5095216060181945,0.31964826478502906,0.935625,0.9933268455442792,,2.1268622875213623,false,0.25571861182802325
cifar10,mobilenet,22,1,WaNet,WaNet,0.005,0.4,test_s,0.4,0.853626717032967,0.45916973312904663,0.025156,0.012651188655637425,0.01,1.2145748138427734,false,0.36733578650323734
cifar10,mobilenet,23,1,WaNet,WaNet,0.005,0.6,test_s,0.6,0.8744396929824562,0.49867741171088653,0.025313,0.03962185458084248,0.01,2.5113484859466553,false,0.39894192936870926
