dataset,attack_family,n_points,transfer_mean,stealth_mean,asr_mean,tradeoff_hmean_mean
cifar10,optimized_perturbation,72,0.7776171666666667,0.4457503407521696,0.8440845266231058,0.5320807057952831
cifar10,blended_trigger,126,0.5659201587301588,0.5438938106194859,0.6266851149375826,0.45357670843836345
cifar10,global_signal,63,0.477152873015873,0.5990043232200508,0.6031106079764497,0.448403483971623
cifar10,localized_patch,180,0.7371006722222222,0.2796115312171607,0.7990507746729073,0.31776720485893023
cifar10,global_spatial,72,0.19505206944444445,0.5574551530933665,0.6617235892920585,0.21902341756012578
mnistm,blended_trigger,126,0.7358341269841271,0.5696222789192121,0.6544749762923967,0.536630102847581
mnistm,global_spatial,72,0.7826128611111112,0.5388366164340456,0.5700396271480861,0.5311319789344046
mnistm,localized_patch,180,0.7328331277777778,0.4684288569114841,0.6648652211675662,0.4635109312007017
mnistm,optimized_perturbation,72,0.3927508333333333,0.6874359662718862,0.4031538867175383,0.358828860402779
mnistm,global_signal,63,0.0025835714285714286,0.7027377915818632,0.02789299229835239,0.005087309201441583
tiny_imagenet,global_spatial,72,0.7200027083333334,0.5982223696872373,0.6212390800747998,0.5974361826660286
tiny_imagenet,blended_trigger,123,0.7335743739837398,0.5490886866077885,0.6943030206488953,0.5356245840465547
tiny_imagenet,optimized_perturbation,48,0.5213986875,0.698922695369388,0.40862063551871386,0.5147546244887037
tiny_imagenet,global_signal,42,0.48718588095238097,0.7025557782574606,0.41588019282066,0.48046142426399885
tiny_imagenet,localized_patch,180,0.8839223277777778,0.22799596608868625,0.8276096179072818,0.3041829077247776
