dataset,model_norm,attack_family,pair_count,stealth_tpr_avg_delta_mean,stealth_auc_avg_delta_mean,transfer_rate_delta_mean,asr_delta_mean,nc_max_anomaly_index_delta_mean,S_stealth_delta_mean,S_stealth_tpr_delta_mean
cifar10,mobilenet,sig,21,-0.13318263917534562,-0.09435702330207497,0.4384598571428571,0.32336994300013905,1.1404553353786469,,
cifar10,mobilenet,upgd,24,-0.18462452018822875,-0.13434982609746077,0.23796229166666666,0.1553593771722508,0.7631630400816599,,
cifar10,resnet18,sig,21,-0.20660468822226036,-0.14336646534488795,0.34081090476190473,0.2687268707010122,0.8090404442378453,,
cifar10,resnet18,upgd,24,-0.2837020700063477,-0.1625300421692926,0.15393866666666667,0.11527410908753881,0.3638724833726883,,
cifar10,vgg,sig,21,-0.1336295102885894,-0.1130834941119171,0.3674775714285714,0.26801851005938315,-0.42992076987311956,,
cifar10,vgg,upgd,24,-0.19316498234533927,-0.1172413671803527,0.18600908333333335,0.17640993558552298,-0.1968232442935308,,
mnistm,mobilenet,sig,21,-0.24879682565587025,-0.1706147581487028,0.7635132380952381,0.7127702002073861,-0.04545982111067999,,
mnistm,mobilenet,upgd,24,-0.2604751845862911,-0.17278854929694304,0.354847125,0.5275160524846455,2.12963172296683,,
mnistm,resnet18,sig,21,-0.3650718705896392,-0.2752522450459631,0.8588842380952381,0.8458562654542554,0.11287877673194521,,
mnistm,resnet18,upgd,24,-0.33369280079151353,-0.2720678287705228,0.66320025,0.5042399497487438,-0.05528511106967926,,
mnistm,vgg,sig,21,-0.17542544278679617,-0.17673478890983124,0.6391547142857142,0.7576905692483582,0.24978622936067127,,
mnistm,vgg,upgd,24,-0.21532926844807881,-0.19472885214428565,0.7889562083333334,0.5821235808672994,-0.3977302660544713,,
