pair_id,dataset,model_norm,attack_family,poison_rate,target_label,mode,f,delta,eps,upgd_steps,upgd_steps_multiplier,folder_new,folder_baseline,stealth_tpr_avg_new,stealth_tpr_avg_baseline,stealth_tpr_avg_delta,stealth_auc_avg_new,stealth_auc_avg_baseline,stealth_auc_avg_delta,transfer_rate_new,transfer_rate_baseline,transfer_rate_delta,asr_new,asr_baseline,asr_delta,nc_max_anomaly_index_new,nc_max_anomaly_index_baseline,nc_max_anomaly_index_delta,S_stealth_new,S_stealth_baseline,S_stealth_delta,S_stealth_tpr_new,S_stealth_tpr_baseline,S_stealth_tpr_delta
cifar10|mobilenet|sig|0.005|6.0|4.0|||#1,cifar10,mobilenet,sig,0.005,0,all-to-one,6.0,4.0,,,,SIG_0.005_delta=4_f=6_mode=all2one_poison_seed=2333_arch=mobilenetv2_cifar10,SIG_0.005_delta=4_f=6_poison_seed=2333_arch=mobilenetv2_cifar10,0.9338287337662338,0.8840474537037037,0.04978128006253002,0.5303764449586842,0.45815837334816156,0.07221807161052263,0.044219,0.026562,0.017657000000000003,0.010704851939385513,0.011260948144028917,-0.0005560962046434036,2.6261017322540283,7.5940937995910645,-4.967992067337036,,,,,,
cifar10|mobilenet|sig|0.005|6.0|12.0|||#1,cifar10,mobilenet,sig,0.005,0,all-to-one,6.0,12.0,,,,SIG_0.005_delta=12_f=6_mode=all2one_poison_seed=2333_arch=mobilenetv2_cifar10,SIG_0.005_delta=12_f=6_poison_seed=2333_arch=mobilenetv2_cifar10,0.6235621034892942,0.8590369094488189,-0.23547480595952475,0.37892613205434267,0.471304535304238,-0.09237840324989532,0.57875,0.043125,0.535625,0.8765466425691645,0.017656054497428054,0.8588905880717365,3.9442591667175293,2.0042884349823,1.9399707317352295,,,,,,
cifar10|mobilenet|sig|0.005|6.0|20.0|||#1,cifar10,mobilenet,sig,0.005,0,all-to-one,6.0,20.0,,,,SIG_0.005_delta=20_f=6_mode=all2one_poison_seed=2333_arch=mobilenetv2_cifar10,SIG_0.005_delta=20_f=6_poison_seed=2333_arch=mobilenetv2_cifar10,0.6896383826879271,0.8708228820598006,-0.18118449937187353,0.3967519403266182,0.49448888793891055,-0.09773694761229235,0.948125,0.141094,0.807031,0.9765049353538162,0.1255387181982483,0.8509662171555679,,7.2951579093933105,,,,,,,
cifar10|mobilenet|sig|0.005|6.0|28.0|||#1,cifar10,mobilenet,sig,0.005,0,all-to-one,6.0,28.0,,,,SIG_0.005_delta=28_f=6_mode=all2one_poison_seed=2333_arch=mobilenetv2_cifar10,SIG_0.005_delta=28_f=6_poison_seed=2333_arch=mobilenetv2_cifar10,0.7729645360715796,0.8083931142909223,-0.035428578219342755,0.3995871365284739,0.515608853707429,-0.11602171717895515,0.934063,0.27625,0.657813,0.9866536910885583,0.3813429723342138,0.6053107187543445,,3.0566868782043457,,,,,,,
cifar10|mobilenet|sig|0.005|6.0|36.0|||#1,cifar10,mobilenet,sig,0.005,0,all-to-one,6.0,36.0,,,,SIG_0.005_delta=36_f=6_mode=all2one_poison_seed=2333_arch=mobilenetv2_cifar10,SIG_0.005_delta=36_f=6_poison_seed=2333_arch=mobilenetv2_cifar10,0.8096821843912008,0.8315141265314745,-0.02183194214027373,0.5505201543260406,0.5066598132506213,0.04386034107541936,0.927031,0.428438,0.49859300000000006,0.9922146531349924,0.6581398581954678,0.3340747949395245,,3.8692617416381836,,,,,,,
cifar10|mobilenet|sig|0.005|6.0|44.0|||#1,cifar10,mobilenet,sig,0.005,0,all-to-one,6.0,44.0,,,,SIG_0.005_delta=44_f=6_mode=all2one_poison_seed=2333_arch=mobilenetv2_cifar10,SIG_0.005_delta=44_f=6_poison_seed=2333_arch=mobilenetv2_cifar10,0.754082341825308,0.6608753998468192,0.09320694197848878,0.4447634327776736,0.4680380544345757,-0.023274621656902084,0.9725,0.442812,0.529688,0.9931878214931184,0.7714444598915612,0.22174336160155717,,1.5491907596588135,,,,,,,
cifar10|mobilenet|sig|0.005|6.0|56.0|||#1,cifar10,mobilenet,sig,0.005,0,all-to-one,6.0,56.0,,,,SIG_0.005_delta=56_f=6_mode=all2one_poison_seed=2333_arch=mobilenetv2_cifar10,SIG_0.005_delta=56_f=6_poison_seed=2333_arch=mobilenetv2_cifar10,0.5114035155157953,0.5790232286096257,-0.06761971309383041,0.27138089945444255,0.49568383816546724,-0.2243029387110247,0.975313,0.615313,0.36,0.9945780620047269,0.9099124148477686,0.08466564715695823,,5.114983081817627,,,,,,,
cifar10|mobilenet|sig|0.01|6.0|4.0|||#1,cifar10,mobilenet,sig,0.01,0,all-to-one,6.0,4.0,,,,SIG_0.010_delta=4_f=6_mode=all2one_poison_seed=2333_arch=mobilenetv2_cifar10,SIG_0.010_delta=4_f=6_poison_seed=2333_arch=mobilenetv2_cifar10,0.8993859577922078,0.8982291666666666,0.0011567911255411234,0.5035980792887313,0.48482797642132747,0.01877010286740388,0.040313,0.031719,0.008594000000000004,0.010704851939385513,0.00834144306965105,0.002363408869734464,2.4869935512542725,4.1282639503479,-1.641270399093628,,,,,,
cifar10|mobilenet|sig|0.01|6.0|12.0|||#1,cifar10,mobilenet,sig,0.01,0,all-to-one,6.0,12.0,,,,SIG_0.010_delta=12_f=6_mode=all2one_poison_seed=2333_arch=mobilenetv2_cifar10,SIG_0.010_delta=12_f=6_poison_seed=2333_arch=mobilenetv2_cifar10,0.610778847553873,0.8643677057739558,-0.2535888582200828,0.3532925917020244,0.50493519690412,-0.1516426052020956,0.855313,0.079219,0.776094,0.9548171833727235,0.056582788822466284,0.8982343945502572,1.1234688758850098,4.188427448272705,-3.0649585723876953,,,,,,
cifar10|mobilenet|sig|0.01|6.0|20.0|||#1,cifar10,mobilenet,sig,0.01,0,all-to-one,6.0,20.0,,,,SIG_0.010_delta=20_f=6_mode=all2one_poison_seed=2333_arch=mobilenetv2_cifar10,SIG_0.010_delta=20_f=6_poison_seed=2333_arch=mobilenetv2_cifar10,0.5577711177174219,0.8583632880910683,-0.3005921703736464,0.328423052754906,0.5048912657554515,-0.1764682130005455,0.944219,0.249688,0.694531,0.987904907549006,0.3969136660642291,0.5909912414847769,2.4552974700927734,3.0486278533935547,-0.5933303833007812,,,,,,
